1,2,3,4,5,6,7,8,9,10
"(26, 375)","(680, 472)","(688, 680)","(776, 518)","(982, 336)","(1099, 261)","(1221, 299)","(436, 261)","(755, 349)","(1078, 165)"
"(56, 278)","(737, 478)","(502, 655)","(764, 452)","(973, 286)","(1106, 217)","(1212, 340)","(422, 313)","(971, 266)","(1019, 88)"
"(77, 246)","(630, 543)","(327, 616)","(752, 386)","(964, 237)","(1115, 174)","(1200, 379)","(407, 364)","(968, 411)","(901, 55)"
"(85, 344)","(523, 608)","(285, 511)","(740, 318)","(980, 141)","(1123, 131)","(1191, 420)","(392, 417)","(895, 549)","(770, 85)"
"(162, 337)","(387, 550)","(296, 406)","(734, 251)","(927, 58)","(1071, 105)","(1183, 458)","(330, 446)","(725, 530)","(634, 107)"
"(239, 330)","(315, 464)","(308, 302)","(718, 186)","(848, 126)","(1005, 84)","(1170, 497)","(240, 456)","(377, 575)","(496, 102)"
"(316, 322)","(296, 370)","(373, 398)","(737, 125)","(816, 106)","(942, 61)","(1162, 536)","(204, 493)","(178, 496)","(362, 78)"
"(392, 315)","(277, 275)","(530, 452)","(737, 94)","(784, 85)","(880, 39)","(1140, 558)","(168, 530)","(362, 451)","(314, 136)"
"(469, 308)","(226, 220)","(701, 433)","(626, 106)","(684, 144)","(873, 83)","(1085, 538)","(156, 585)","(569, 522)","(349, 210)"
"(546, 300)","(176, 166)","(852, 373)","(526, 138)","(585, 203)","(868, 122)","(1029, 514)","(165, 618)","(785, 591)","(443, 248)"
"(623, 293)","(30, 142)","(993, 314)","(542, 294)","(447, 182)","(860, 163)","(974, 495)","(252, 611)","(1033, 590)","(535, 187)"
"(700, 286)","(66, 62)","(1152, 284)","(503, 376)","(381, 233)","(856, 203)","(920, 470)","(339, 609)","(1235, 511)","(638, 139)"
"(832, 246)","(219, 45)","(1212, 366)","(414, 423)","(329, 286)","(851, 242)","(866, 451)","(422, 617)","(1218, 375)","(751, 160)"
"(963, 205)","(279, 120)","(1272, 447)","(413, 284)","(342, 346)","(845, 282)","(816, 428)","(503, 628)","(1187, 242)","(808, 223)"
"(982, 160)","(286, 208)","(1202, 536)","(518, 274)","(263, 274)","(838, 321)","(800, 394)","(510, 591)","(1070, 130)","(888, 278)"
"(1002, 115)","(286, 272)","(1163, 465)","(617, 260)","(248, 188)","(791, 345)","(760, 398)","(507, 546)","(1005, 246)","(885, 207)"
"(1021, 70)","(330, 193)","(1126, 374)","(716, 246)","(194, 209)","(740, 364)","(719, 402)","(510, 501)","(1066, 239)","(749, 312)"
"(887, 86)","(375, 114)","(1073, 288)","(817, 231)","(197, 221)","(754, 293)","(678, 406)","(521, 456)","(1054, 306)","(617, 415)"
"(794, 147)","(390, 34)","(1020, 203)","(913, 222)","(268, 152)","(739, 260)","(638, 410)","(532, 412)","(1043, 374)","(471, 512)"
"(868, 166)","(423, 45)","(1013, 217)","(926, 142)","(344, 85)","(724, 227)","(622, 442)","(512, 371)","(1017, 436)","(267, 552)"
